[-33.5940453, -70.7307134]
[-33.5939385, -70.7307134]
[-33.5938317, -70.7307134]
[-33.5937249, -70.7307134]
[-33.5936181, -70.7307134]
[-33.5935113, -70.7307134]
[-33.5934045, -70.7307134]
[-33.5932977, -70.7307134]
[-33.5931909, -70.7307134]
[-33.5930841, -70.7307134]
[-33.5929773, -70.7307134]
[-33.5928705, -70.7307134]
[-33.5927637, -70.7307134]
[-33.5926569, -70.7307134]
[-33.5925501, -70.7307134]
[-33.5924433, -70.7307134]
[-33.5923365, -70.7307134]
[-33.5922297, -70.7307134]
[-33.5921229, -70.7307134]
[-33.5920161, -70.7307134]
[-33.5919093, -70.7307134]
[-33.5918025, -70.7307134]
[-33.5916957, -70.7307134]
[-33.5915889, -70.7307134]
[-33.5914821, -70.7307134]
[-33.5913753, -70.7307134]
[-33.5912685, -70.7307134]
[-33.5911617, -70.7307134]
[-33.5910549, -70.7307134]
[-33.5909481, -70.7307134]
[-33.5908413, -70.7307134]
[-33.5907345, -70.7307134]
[-33.5906277, -70.7307134]
[-33.5905209, -70.7307134]
[-33.5904141, -70.7307134]
[-33.5903073, -70.7307134]
[-33.5902005, -70.7307134]
[-33.5900937, -70.7307134]
[-33.5899869, -70.7307134]
[-33.5898801, -70.7307134]
[-33.5897733, -70.7307134]
[-33.5896665, -70.7307134]
[-33.5895597, -70.7307134]
[-33.5894529, -70.7307134]
[-33.5893461, -70.7307134]
[-33.5892393, -70.7307134]
[-33.5891325, -70.7307134]
[-33.5890257, -70.7307134]
[-33.5889189, -70.7307134]
[-33.5888121, -70.7307134]
[-33.5887053, -70.7307134]
[-33.5885985, -70.7307134]
[-33.5884917, -70.7307134]
[-33.5883849, -70.7307134]
[-33.5882781, -70.7307134]
[-33.5881713, -70.7307134]
[-33.5880645, -70.7307134]
[-33.5879577, -70.7307134]
[-33.5878509, -70.7307134]
[-33.5877441, -70.7307134]
[-33.5876373, -70.7307134]
[-33.5875305, -70.7307134]
[-33.5874237, -70.7307134]
[-33.5873169, -70.7307134]
[-33.5872101, -70.7307134]
[-33.5871033, -70.7307134]
[-33.5869965, -70.7307134]
[-33.5868897, -70.7307134]
[-33.5867829, -70.7307134]
[-33.5866761, -70.7307134]
[-33.5865693, -70.7307134]
[-33.5864625, -70.7307134]
[-33.5863557, -70.7307134]
[-33.5862489, -70.7307134]
[-33.5861421, -70.7307134]
[-33.5860353, -70.7307134]
[-33.5859285, -70.7307134]
[-33.5858217, -70.7307134]
[-33.5857149, -70.7307134]
[-33.5856081, -70.7307134]
[-33.5855013, -70.7307134]
[-33.5853945, -70.7307134]
[-33.5852877, -70.7307134]
[-33.5851809, -70.7307134]
[-33.5850741, -70.7307134]
[-33.5849673, -70.7307134]
[-33.5848605, -70.7307134]
[-33.5847537, -70.7307134]
[-33.5846469, -70.7307134]
[-33.5845401, -70.7307134]
[-33.5844333, -70.7307134]
[-33.5843265, -70.7307134]
[-33.5842197, -70.7307134]
